Days since last event;1-5;6-10;10-15;16-20;21-25;26-30;31-35;36-40;41-45;46-50;51-55;56-60;61-65;66-70;71-75
13;0.07493540051679587;0.09248554913294797;0.09722222222222222;0.14492753623188406;0.09473684210526316;0.17567567567567569;0.16071428571428573;0.08571428571428572;0.1935483870967742;0.2647058823529412;0.3125;0.2222222222222222;0.2631578947368421;0.26666666666666666;0.4166666666666667
14;0.07373868046571798;0.0872093023255814;0.09302325581395349;0.1386861313868613;0.0851063829787234;0.17567567567567569;0.12962962962962962;0.08571428571428572;0.1935483870967742;0.2647058823529412;0.3125;0.2222222222222222;0.17647058823529413;0.21428571428571427;0.4166666666666667
15;0.07373868046571798;0.08187134502923976;0.09302325581395349;0.1259259259259259;0.07526881720430108;0.17567567567567569;0.12962962962962962;0.08571428571428572;0.1935483870967742;0.24242424242424243;0.3125;0.2222222222222222;125;0.21428571428571427;0.4166666666666667
16;0.07253886010362694;0.07917888563049853;0.08878504672897196;0.1259259259259259;0.06521739130434782;0.1643835616438356;0.12962962962962962;0.08571428571428572;0.13793103448275862;0.24242424242424243;0.3125;0.2222222222222222;125;0.15384615384615385;0.4166666666666667
17;0.07253886010362694;0.07374631268436578;0.08450704225352113;0.11940298507462686;0.06521739130434782;0.14084507042253522;0.11320754716981132;0.08571428571428572;0.13793103448275862;0.24242424242424243;0.26666666666666666;0.2222222222222222;125;0.15384615384615385;0.4166666666666667
18;0.06892067620286085;0.07374631268436578;0.08450704225352113;0.11940298507462686;0.054945054945054944;0.14084507042253522;0.09615384615384616;0.08571428571428572;0.13793103448275862;0.24242424242424243;0.26666666666666666;0.2222222222222222;125;0.15384615384615385;0.391304347826087
19;0.06527415143603134;0.06824925816023739;0.08450704225352113;0.09923664122137404;0.054945054945054944;0.14084507042253522;0.0784313725490196;0.08571428571428572;0.13793103448275862;0.24242424242424243;0.26666666666666666;0.2222222222222222;125;0.15384615384615385;0.391304347826087
20;0.06527415143603134;0.06547619047619048;0.08450704225352113;0.09923664122137404;0.054945054945054944;0.12857142857142856;0.0784313725490196;0.08571428571428572;0.10714285714285714;0.24242424242424243;0.26666666666666666;0.16;125;0.15384615384615385;0.3333333333333333
21;0.06405228758169934;0.057057057057057055;0.08450704225352113;0.09230769230769231;0.044444444444444446;0.12857142857142856;0.0784313725490196;0.08571428571428572;0.10714285714285714;0.21875;0.26666666666666666;0.16;125;0.15384615384615385;0.3
22;0.06282722513089005;0.057057057057057055;0.08450704225352113;0.08527131782945736;0.044444444444444446;0.11594202898550725;0.0784313725490196;0.058823529411764705;0.10714285714285714;0.21875;0.26666666666666666;0.16;125;0.15384615384615385;0.3
23;0.061598951507208385;0.04559270516717325;0.07582938388625593;0.08527131782945736;0.044444444444444446;0.11594202898550725;0.0784313725490196;0.058823529411764705;0.10714285714285714;0.21875;0.26666666666666666;125;125;0.15384615384615385;0.3
24;0.05913272010512484;0.04559270516717325;0.07142857142857142;0.08527131782945736;0.044444444444444446;0.11594202898550725;0.06;0.058823529411764705;0.10714285714285714;0.21875;0.26666666666666666;125;125;0.15384615384615385;0.3
25;0.05913272010512484;0.04559270516717325;0.0625;0.08527131782945736;0.044444444444444446;0.11594202898550725;0.06;0.058823529411764705;0.10714285714285714;0.21875;0.21428571428571427;125;125;0.15384615384615385;0.2631578947368421
26;0.05913272010512484;0.04559270516717325;0.0625;0.08527131782945736;0.044444444444444446;0.10294117647058823;0.06;0.058823529411764705;0.10714285714285714;0.21875;0.15384615384615385;125;125;0.15384615384615385;0.2631578947368421
27;0.05789473684210526;0.04559270516717325;0.0625;0.08527131782945736;0.044444444444444446;0.10294117647058823;0.06;0.058823529411764705;0.10714285714285714;0.21875;0.15384615384615385;0.08695652173913043;125;0.15384615384615385;0.2631578947368421
28;0.05789473684210526;0.04559270516717325;0.057971014492753624;0.08527131782945736;0.044444444444444446;0.08955223880597014;0.06;0.058823529411764705;0.10714285714285714;0.1935483870967742;0.15384615384615385;0.08695652173913043;125;0.15384615384615385;0.2631578947368421
29;0.05665349143610013;0.04559270516717325;0.05339805825242718;0.07086614173228346;0.044444444444444446;0.08955223880597014;0.06;0.058823529411764705;0.10714285714285714;0.1935483870967742;0.15384615384615385;0.08695652173913043;125;0.15384615384615385;0.2631578947368421
30;0.05680317040951123;0.04573170731707317;0.05365853658536585;0.07142857142857142;0.044444444444444446;0.09090909090909091;0.06;0.058823529411764705;0.10714285714285714;0.1935483870967742;0.15384615384615385;0.08695652173913043;125;0.08333333333333333;0.2631578947368421
31;0.05459387483355526;0.043076923076923075;0.05472636815920398;0.07142857142857142;0.0449438202247191;0.078125;0.061224489795918366;0.06060606060606061;0.07407407407407407;0.1935483870967742;0.16666666666666666;0.045454545454545456;125;0.08333333333333333;0.2631578947368421
32;0.052489905787348586;0.043076923076923075;0.05472636815920398;0.07142857142857142;0.034482758620689655;0.08196721311475409;0.061224489795918366;0.06060606060606061;0.07407407407407407;0.16666666666666666;0.16666666666666666;0.045454545454545456;125;0.08333333333333333;0.2631578947368421
33;0.051490514905149054;0.040123456790123455;0.05527638190954774;0.07142857142857142;0.03529411764705882;0.08333333333333333;0.061224489795918366;0.06060606060606061;0.07407407407407407;0.13793103448275862;0.16666666666666666;0.045454545454545456;0.13333333333333333;0.08333333333333333;0.2222222222222222
34;0.0504774897680764;0.040123456790123455;0.050761421319796954;0.07142857142857142;0.03571428571428571;0.0847457627118644;0.061224489795918366;0.0625;0.07407407407407407;0.13793103448275862;0.16666666666666666;0.045454545454545456;0.13333333333333333;0.08333333333333333;0.1875
35;0.048209366391184574;0.040372670807453416;0.046153846153846156;72;0.037037037037037035;0.08620689655172414;0.0625;0.0625;0.07407407407407407;0.13793103448275862;0.16666666666666666;0.047619047619047616;0.13333333333333333;0.08333333333333333;0.1875
36;0.04861111111111111;0.040625;0.04639175257731959;0.07258064516129033;0.0375;0.07142857142857142;0.06382978723404255;0.0625;0.07407407407407407;0.10714285714285714;0.16666666666666666;0.047619047619047616;0.13333333333333333;0.08333333333333333;0.1875
37;0.04809052333804809;0.041666666666666664;0.046875;75;0.0379746835443038;0.07547169811320754;0.06521739130434782;0.0625;0.07407407407407407;0.10714285714285714;0.16666666666666666;0.047619047619047616;0.13333333333333333;0.08333333333333333;0.2
38;0.04721030042918455;0.04220779220779221;0.042328042328042326;0.06722689075630252;0.03896103896103896;0.07547169811320754;0.06521739130434782;0.06666666666666667;0.07407407407407407;0.10714285714285714;0.16666666666666666;0.05;0.13333333333333333;0.08333333333333333;0.2
39;0.04610951008645533;0.04220779220779221;0.0374331550802139;0.06722689075630252;0.039473684210526314;0.07692307692307693;0.06521739130434782;0.07142857142857142;0.07407407407407407;0.10714285714285714;0.18181818181818182;0.05;0.13333333333333333;0.08333333333333333;0.2
40;0.04644412191582003;0.04234527687296417;0.03783783783783784;0.05128205128205128;0.02702702702702703;0.0784313725490196;0.06666666666666667;0.07142857142857142;0.07692307692307693;0.10714285714285714;0.2;0.05;0.13333333333333333;0.08333333333333333;0.2
41;0.04518950437317784;0.03934426229508197;0.03278688524590164;0.05128205128205128;0.0273972602739726;0.08;0.06666666666666667;0.07142857142857142;0.07692307692307693;0.10714285714285714;0.2;0.05263157894736842;0.13333333333333333;0.08333333333333333;0.2
42;0.04538799414348463;0.039473684210526314;0.03333333333333333;0.05172413793103448;0.0273972602739726;0.08;0.06818181818181818;0.07142857142857142;0.07692307692307693;0.10714285714285714;0.2;0.05263157894736842;0.13333333333333333;0.08333333333333333;0.2
43;0.045655375552282766;0.039473684210526314;0.022598870056497175;0.05217391304347826;0.028169014084507043;0.08163265306122448;0.06818181818181818;0.07407407407407407;0.07692307692307693;0.1111111111111111;0.2;0.05555555555555555;0.13333333333333333;0.08333333333333333;0.2
44;0.04579025110782865;0.039473684210526314;0.022727272727272728;0.05217391304347826;0.028985507246376812;0.08333333333333333;0.06818181818181818;0.07407407407407407;0.08;0.1111111111111111;0.2;0.05555555555555555;0.13333333333333333;0.08333333333333333;0.2
